device id = 	69 Kwh Trafo 1
		70 Kwh Trafo 2

tsamp,device_id,kwh

kwh trafo 1 (69) = 672193 - 654362 = 17.831
kwh trafo 2 (70) = 655781 - 637581 = 18.200

00:00:05 , 69 , 654362
00:00:05 , 70 , 637581
00:30:00 , 69 , 654668
00:30:00 , 70 , 637895
01:00:00 , 69 , 654978
01:00:00 , 70 , 638204
01:30:00 , 69 , 655300
01:30:00 , 70 , 638532
02:00:00 , 69 , 655638
02:00:00 , 70 , 638876
02:30:00 , 69 , 655970
02:30:00 , 70 , 639212
03:00:00 , 69 , 656309 
03:00:00 , 70 , 639558
04:00:00 , 69 , 656970
04:00:00 , 70 , 640236
05:00:00 , 69 , 657658
05:00:00 , 70 , 640928
05:59:55 , 69 , 658391
05:59:55 , 70 , 641674
07:00:00 , 69 , 659145
07:00:00 , 70 , 642446
08:00:00 , 69 , 659950
08:00:00 , 70 , 643248
09:00:00 , 69 , 660991
09:00:00 , 70 , 644297
10:00:00 , 69 , 662116
10:00:00 , 70 , 645424
11:00:00 , 69 , 663277
11:00:00 , 70 , 646580
12:00:05 , 69 , 664447
12:00:05 , 70 , 647745
13:00:05 , 69 , 665598
13:00:05 , 70 , 648895

14:00:00 , 69 , 666702
14:00:00 , 70 , 6504

15:00:35 , 69 , 667532
15:00:35 , 70 , 650846
16:00:00 , 69 , 668371
16:00:00 , 70 , 651688
17:00:00 , 69 , 669237
17:00:00 , 70 , 652530

18:00:00 , 69 , 67066
18:00:00 , 70 , 653357

19:00:00 , 69 , 670697 
19:00:00 , 70 , 653989
20:00:00 , 69 , 671119
20:00:00 , 70 , 654409
21:00:00 , 69 , 671328
21:00:00 , 70 , 654624
22:00:00 , 69 , 671383
22:00:00 , 70 , 654849
23:00:05 , 69 , 671532
23:00:05 , 70 , 655109
23:30:00 , 69 , 671862
23:30:00 , 70 , 655444
23:59:55 , 69 , 672193
23:59:55 , 70 , 655781

kwh trafo 1
cara solvingnya lwbp1 	:  ambil nilai terakhir lwbp1 di jam 17:54:35 (669996) dikurangi nilai kwh trafo 1 di jam 00:00:00
		wbp 	:  nilai kwh trafo 1 di jam 22:00:00 dikurangi ambil nilai terakhir wbp di jam 18:04:00 (670110)
